rom_title,result,igdb_id,catalog_title,igdb_url,search_stage,unconfirmed_candidates
Shin Nihon Pro Wrestling Kounin - '95 Tokyo Dome Battle 7 (JP),No confident match from search responses,,,,discovery,61303: Shin Nippon Pro Wrestling '95: Tokyo Dome Battle 7; 61303: Shin Nippon Pro Wrestling '95: Tokyo Dome Battle 7; 61317: Shin Nippon Pro Wrestling: Chou Senshi in Tokyo Dome - Fantastic Story
Shooter (Prototype),ambiguous or truncated,,,,discovery,11627: Pushover; 11627: Pushover; 1359: Secret of Evermore
SimAnt - The Electronic Ant Colony (NA),recoverable,9520,SimAnt,https://www.igdb.com/games/simant,discovery,9520: SimAnt
SimCity 2000 - The Ultimate City Simulator (NA),recoverable,330,SimCity 2000,https://www.igdb.com/games/simcity-2000,discovery,330: SimCity 2000
Snake Blaster (Prototype),No confident match from search responses,,,,discovery,42404: Song Master; 369409: Sliding Blaster 2; 44444: Super Road Blaster
Soul Edge Vs. Samurai (TW),No confident match from search responses,,,,discovery,45754: Soul Edge Vs. Samurai Spirits; 42381: Shogi Zanmai; 4541: College Slam
Speed Racer (NA),No confident match from search responses,,,,discovery,19770: Street Racer; 27461: Top Gear; 42732: Dirt Racer
Spider-Man - Venom - Maximum Carnage (NA),No confident match from search responses,,,,discovery,18125: Spider-Man and Venom: Maximum Carnage; 46182: Venom/Spider-Man: Separation Anxiety; 4500: Spider-Man
Spider-Man - X-Men - Arcade's Revenge (NA),No confident match from search responses,,,,discovery,4389: Spider-Man and the X-Men in Arcade's Revenge; 4389: Spider-Man and the X-Men in Arcade's Revenge; 281808: Super Mario in: Yoshi's Revenge
Squirrel (TW),No confident match from search responses,,,,discovery,45703: Squirrel King; 306170: Nova the Squirrel 2; 16743: Uniracers
Star Trek - The Next Generation - Future's Past (NA),recoverable,46195,Star Trek: The Next Generation - Echoes from the Past,https://www.igdb.com/games/star-trek-the-next-generation-echoes-from-the-past,discovery,46195: Star Trek: The Next Generation - Echoes from the Past
Street Fighter EX Plus Alpha (TW),No confident match from search responses,,,,discovery,243453: Street Fighter Alpha 2; 18626: Street Fighter II' Turbo; 243453: Street Fighter Alpha 2
Street Fighter V (NA),No confident match from search responses,,,,discovery,321621: Street Fighter II; 18626: Street Fighter II' Turbo; 243453: Street Fighter Alpha 2
"Super Back to the Future, Part II (English Translated by Mteam With FastROM Hack by MaxwelOlinda and Fixes by Kandowontu)",recoverable,8520,Super Back to the Future II,https://www.igdb.com/games/super-back-to-the-future-ii,discovery,8520: Super Back to the Future II; 8520: Super Back to the Future II; 275565: Super Mario: The Cursed Forest
"Super Chinese World 2 - Uchuuichi Butou Taikai (English Translated by DDSTranslation, Rev 2)",recoverable,37840,Super Chinese World 2: Uchuu Ichi Butou Taikai,https://www.igdb.com/games/super-chinese-world-2-uchuu-ichi-butou-taikai,discovery,37840: Super Chinese World 2: Uchuu Ichi Butou Taikai; 42304: Super Chinese World 3: Chou Jigen Daisakusen; 37840: Super Chinese World 2: Uchuu Ichi Butou Taikai
Super Conflict (NA),No confident match from search responses,,,,discovery,198462: Super NicoNico Kart; 42438: Turn and Burn: No-Fly Zone; 38421: Super Conflict: The Mideast
Super Drift Out - World Rally Championships (JP),recoverable,42417,Super Drift Out,https://www.igdb.com/games/super-drift-out,discovery,42417: Super Drift Out
Super Family Gelaende (JP),No confident match from search responses,,,,discovery,42534: Super Family Gelände; 42534: Super Family Gelände; 44106: Smash Tennis
Super Formation Soccer '95 - Della Serie A (JP - UCC Xaqua Version),No confident match from search responses,,,,discovery,236673: Super Formation Soccer 95: della Serie A - UCC Xaqua; 42360: Super Formation Soccer 95: della Serie A; 236675: Super Formation Soccer 95: della Serie A - Extra Package
Super Morph (NTSC Conversion),ambiguous or truncated,,,,aliases,13053: Morph; 76904: Super Morph
Super Nova (NA),ambiguous or truncated,,,,aliases,42446: Super Nova; 267624: Super Nova
Super Oozumou - Nessen Ooichiban (JP),No confident match from search responses,,,,discovery,37857: Super Oozumou Netsusen Dai-Ichiban; 37857: Super Oozumou Netsusen Dai-Ichiban; 37780: Tsuppari Oozumou: Risshin Shusse-hen
"Super Puyo Puyo (JP, Rev 2)",ambiguous or truncated,,,,aliases,42406: Super Puyo Puyo; 47250: Puyo Puyo
"Super Puyo Puyo Tsuu (English Translated by J2e Translations, Rev 1.1)",No confident match from search responses,,,,discovery,42470: Super Puyo Puyo 2; 42470: Super Puyo Puyo 2; 42544: Super Puyo Puyo Tsuu Remix
"Super Robot Taisen Gaiden - Masoukishin - The Lord of Elemental (English Translated by Aeon Genesis, Rev 1.05 With Music Persistence Patch)",recoverable,38233,Super Robot Taisen Gaiden: Masou Kishin - The Lord of Elemental,https://www.igdb.com/games/super-robot-taisen-gaiden-masou-kishin-the-lord-of-elemental,discovery,38233: Super Robot Taisen Gaiden: Masou Kishin - The Lord of Elemental; 38233: Super Robot Taisen Gaiden: Masou Kishin - The Lord of Elemental; 222097: Super Mario Bros.: The Lost Levels
Super Tekkyuu Fight! (JP),No confident match from search responses,,,,discovery,42222: Super Tekkyu Fight!; 322188: Super Street Fighter II; 322188: Super Street Fighter II
Super Turrican Collection (NA),No confident match from search responses,,,,discovery,42221: Super Trump Collection; 5199: Super Mario All-Stars; 42220: Super Trump Collection 2
Sutobasu Yarou Show (JP),No confident match from search responses,,,,discovery,42426: Sutobasu Yarou Shou; 138085: YuYu Hakusho; 4260: Samurai Shodown
Table Game Daishuugou!! (JP),No confident match from search responses,,,,discovery,56439: Table Game Daishuugo!!; 37800: Table Game Daishuugou!! Shogi Mahjong Hanafuda; 37800: Table Game Daishuugou!! Shogi Mahjong Hanafuda
Tekken 2 (TW),No confident match from search responses,,,,discovery,114033: Taekwon-do; 37953: Koushien 2; 114033: Taekwon-do
The Blues Brothers (NA),No confident match from search responses,,,,discovery,42639: Brawl Brothers; 6823: Buster Bros.; 47007: The Blues Brothers: Jukebox Adventure
The King of Fighters '98 (TW),No confident match from search responses,,,,discovery,71128: Fatal Fury; 39466: King of the Monsters 2; 6800: King of the Monsters
The King of Fighters 2000 (TW),No confident match from search responses,,,,discovery,39466: King of the Monsters 2; 71128: Fatal Fury; 6800: King of the Monsters
The King of Rally - Paris-Moscow-Beijing (JP),No confident match from search responses,,,,discovery,38111: The King of Rally
Time Pilot (Prototype),No confident match from search responses,,,,discovery,42441: Timecop; 8939: Time Killers; 46678: Time Trax
Tommy Moe's Winter Extreme - Skiing and Snowboarding (NA),recoverable,42429,Tommy Moe's Winter Extreme: Skiing & Snowboarding,https://www.igdb.com/games/tommy-moes-winter-extreme-skiing-and-snowboarding,broad,42429: Tommy Moe's Winter Extreme: Skiing & Snowboarding
"Torneko no Daibouken - Fushigi no Dungeon (English Translated by Dynamic Designs, Rev 0.99)",No confident match from search responses,,,,discovery,42439: Fushigi no Dungeon: Torneko no Daibouken; 46588: Whirlo; 46588: Whirlo
Tsuppari Oozumou - Risshinshusse Hen (JP),recoverable,37780,Tsuppari Oozumou: Risshin Shusse-hen,https://www.igdb.com/games/tsuppari-oozumou-risshin-shusse-hen,discovery,37780: Tsuppari Oozumou: Risshin Shusse-hen; 37780: Tsuppari Oozumou: Risshin Shusse-hen; 37798: Taikou Risshiden
U.F.O. Kamen Yakisoban - Kettler no Kuroi Inbou (Keihin Ban - JP),No confident match from search responses,,,,discovery,44445: U.F.O. Kamen Yakisoban: Kettler no Kuroi Inbou; 44445: U.F.O. Kamen Yakisoban: Kettler no Kuroi Inbou; 44445: U.F.O. Kamen Yakisoban: Kettler no Kuroi Inbou
"Ultima - Kyouryuu Teikoku - The Savage Empire (English Translated by Nytegard, Rev 1.01)",No confident match from search responses,,,,discovery,186734: Ultima: The Savage Empire; 186734: Ultima: The Savage Empire; 42202: Dino City
Ultima - The False Prophet (NA),No confident match from search responses,,,,discovery,12230: Ultima VI: The False Prophet; 186734: Ultima: The Savage Empire; 42437: Ultima: The Black Gate
Undake 30 - Same Game Daisakusen - Mario Version (JP),recoverable,67024,Undake30 SameGame Daisakusen Mario Version,https://www.igdb.com/games/undake30-samegame-daisakusen-mario-version,discovery,67024: Undake30 SameGame Daisakusen Mario Version; 67024: Undake30 SameGame Daisakusen Mario Version; 67024: Undake30 SameGame Daisakusen Mario Version
Unknown Top-Down Racing Game (Prototype),No confident match from search responses,,,,discovery,219063: Untitled Racing Game; 5418: Super Mario RPG: Legend of the Seven Stars
Wakuwaku Ski Wonder Spur (JP),recoverable,37770,Waku-waku Ski Wonder Spur,https://www.igdb.com/games/waku-waku-ski-wonder-spur,discovery,37770: Waku-waku Ski Wonder Spur; 214949: Wario's Wonderful Walk; 15897: Bakumatsu Kourinden Oni
Waterworld (NTSC Conversion),ambiguous or truncated,,,,aliases,133281: Waterworld; 338817: Waterworld
Winter Olympic Games - Lillehammer '94 (NA),No confident match from search responses,,,,discovery,4507: Winter Olympic Games; 4507: Winter Olympic Games; 4507: Winter Olympic Games
"Wizardry I-II-III - Story of Llylgamyn (English Translated by Aeon Genesis With Fixes by Hengki Kusuma Adi, Rev 1.2 With IBM PC Item Names Patch, Rev 1.1)",No confident match from search responses,,,,discovery,42528: Wizardry I-II-III: The Story of Llylgamyn; 42528: Wizardry I-II-III: The Story of Llylgamyn; 42528: Wizardry I-II-III: The Story of Llylgamyn
"Wizardry VI - Kindan no Mahitsu (English Translated by TiCo, Rev 0.99 With Bugfixes by MrRichard999)",No confident match from search responses,,,,discovery,10496: Wizardry: Bane of the Cosmic Forge; 10495: Wizardry V: Heart of the Maelstrom; 42528: Wizardry I-II-III: The Story of Llylgamyn
Wolfenstein 3-D (NA),recoverable,306944,Wolfenstein 3D,https://www.igdb.com/games/wolfenstein-3d--3,discovery,306944: Wolfenstein 3D; 306944: Wolfenstein 3D; 7824: Choplifter III: Rescue Survive
"Wonder Project J - Kikai no Shonen Pino (English Translated by WakdHacks, Rev 1.04)",No confident match from search responses,,,,discovery,37255: Wonder Project J: Kikai no Shounen Pino; 37255: Wonder Project J: Kikai no Shounen Pino
X-Men Vs. Street Fighter (TW),No confident match from search responses,,,,discovery,322188: Super Street Fighter II; 321621: Street Fighter II; 322188: Super Street Fighter II
"Xak - The Art of Visual Stage (English Translated by Dynamic Designs, Rev 1.1)",ambiguous or truncated,,,,discovery,41769: Xak: The Art of Visual Stage; 377091: Xak: The Art of Visual Stage
Yu Yu Hakusho 2 - Kakutou no Shou (JP),No confident match from search responses,,,,discovery,42530: YuYu Hakusho 2: Kakutou no Sho; 42530: YuYu Hakusho 2: Kakutou no Sho; 42530: YuYu Hakusho 2: Kakutou no Sho
Zen-Nihon Pro Wres (JP),No confident match from search responses,,,,discovery,61503: Zen-Nippon Pro Wrestling; 61503: Zen-Nippon Pro Wrestling; 65200: Zen-Nippon Pro Wrestling: Fight Da Pon!
"Zero 4 Champ RR (JP, Rev 1)",recoverable,60307,Zero-4 Champ RR,https://www.igdb.com/games/zero-4-champ-rr,discovery,60307: Zero-4 Champ RR
Zero 4 Champ RR-Z (JP),recoverable,58090,Zero-4 Champ RR-Z,https://www.igdb.com/games/zero-4-champ-rr-z,discovery,58090: Zero-4 Champ RR-Z
